clean_text,labels
"ab ap hi batao ki bjp ki taref kyun na kre , desh me ghuse ghus petio ki bat sirf bjp krti h baki sab dal unko basati h , to bjp desh hui or baki sab desh drohi gadar ,",0
agr apko koi doubts he to ap ekbar unke prgrem me jake dekhiye na akhir sachai kya he,0
"bhai yeh lalantop wale leftist or mulo ko suport karte hai in logo ne kashmiri pandito ke liye bhi yehi bola tha ki wo exodus tha , pakistani militants ne kiya tha vagera vagera isliye jitni jyda ho ske inko unsubscribe karoyeh or dhruv rathi jhoth felane hi aye hai youtube pr",0
lalemagne top se aisi umed nahi thi ki zhoti film ka prachar karenge lalan top ko condamné karna chaiye our logo ko jagrok jarna chahiye our jerka ki puri tram ka bahishkar karna chahiye itna bada zot desh wasi se q kiskiye zhot jo log samargan ker rahe hai unka dhikar hai desh ke nam per lalank ho tum per jai bharat,0
iam unsubscrib this chanel kyu ki agar news chanal jhut bolega toh kese sabscrib kar de,0
"manoj biloniya abey tum log gareb logo ka haq mar rahe ho , abey tum logo ke pas dimag nhi h us zamane m noble prize ka koi system tha hi nhi",0
gulzar bhaiya ji ye lalantop wale muslims ko is bil ki galat jankari dekar bhadka rahe thesimple si bat hai 57 countries jab muslim ka bhala soch sate hain to kya humlog milkar pakistan k minority ko suport nahi kar sakte,0
is hzrt se mistake hua h mgr ye kmeni aurt sudrson wali bal ka khal nikale huye hktne ko ye chnl mrwa chuki h muslim hindu bhai ko ldwakriska bhi suresh chawhan ki trh ten chr k bhitr jana tai h,0
nelabh shrivastava israel kon sa muslim desh hai hahaor tum sahi bola muslim vote se modi ko koi lena den v nahi majority hindu ki hai to hindutav ki sirf bat karo india ka pm koi v ban jayega yaha tak ki papu rahul gandhi v,0
smaj me kotkar kar unko thek karna chahiye jo bhgvan ka apman krte hai jati mana galt nhi hai mai to manti hu aur manti rhungi,0
hamara to pata nahi am to news mey hi dekhtey hain par lagta hai tumara regular jana hota hai,0
bo kon nahi pene dete nam jad fir kare kanon shakt to he hijat pat sabse pahle khatm hona chahiye,0
k chandra agar bat antarjati vivah ki kr rhe ho to phle apne me kr ke dikhau chmar pasi se kre pasi dhobi se kre phle apne category me kr ke dikha do tb age ki charcha hogi,1
chahe hindu ho ya musalman sono taraf ke tumhare jaise nafrati gunde hi am logo ki zindagiyan barbad karte hai,0
bhai tu hypocrisy wali bat kar raha hai ek taraf tu jati ke adhar pe arakhshan ka samarthan kar raha hai aur dosri taraf tu jati gat bedbhav ka virod kar raha hai arakshan apne ap main sabse bada bedbhav hai jo nichli jati walon ko unke pichde hone ka ehsas dila raha hai sab homosapiens hain to arkshan band karva ke dikha,0
vat lane kay leah hindu sub ak hoja wah shnghi bolt hay hindu khtery may said karny kay ley chamer aur bhramn daktey hay jati wadi hata wah des bchey,0
jo musal hindusthan mitaneki dhamki desh rahe hai usko uski aulad dikhana jagrut honeki zarurat hai bharat mata ki jai hindu p she takraoge matimol ho jaoge jai hind jai bharat,1
yah kisan nahin hai ek khalistani atankwadi hain canada sindor ka funding hui hai yah log to 20 sal mein baith sakte hain vahan per kyunki canada se bahut sare paise mil rahe hain log ko,1
"father stenly apka dhanyabad , prabhu ko apne kitne sahi tarike present kia jbki inhone apki bejati kia but ap great ho prabhu apko bahut ashis de",0
nambar ek ka khachar he dimag me gobar gu gomutr bhara he teachar bane ke layk nahi he,0
fake video abe abhi bhi time hai sudhar jao nahi to yahi public apne adikar jan gai to kuto jaisi maregi jab tv par sambhidan batana tha tab to ramayan mahabharat dhikaya ab natak,0
god sir kya javab talab kiya h chutiya h teacher interview dene ka bhi tamej nhi h inki mansikta me gobar bhara h,0
nhi bhai mere mohale me kai defined kar rhe h mane ko hi tyar nhi ankh pr pati nhi inke ye h hi ese,0
abey o tu abhi puri duniya ki bat kar raha tha aor abhi only india ki bat karne laga desh ka sabse bada gadar tu hai,0
dalit hindu nahi baudh hai sare dalit christian aur baudh ban jao hindu dharm chor k dekhna kitna percent hindu bachega,1
sare naksaliyon ka bap sirf ek ranver abhi bhram me mat rahna ranver sena khatm ho gayi agar tumne fir se atank machana chalu kiya to har ranver tumhare samne milega jai ranver,0
"q bhai tum apni tasref nahi dal sakte ho kya , waha kya lindu dal rakha hai kya kisi ne sory bhai estrsh ki bhasa mai bhi bol sakta hon mai jo kaha hai puri bat ko samajh adhi bat mat kar",0
yeh hamare desh ki phd holder sir ki sochbadal jao sir sourav ji salute to youchorneka nahi,0
"india ka caste diferences intercaste mariage karkekabhi nahin sudhar sakte diference mitane ke liye sadi nahin mansikta , samata bhav hona chahiye koi apna id mitana nahin chahega love karne wale samaj sudharne ke liye love nahin karte , sarir ka chahat ke liye love karte hain aur phas jate hain",0
sahi ke rao ho bhai ghodhi par dalit dolha nahi kunen pe pani nahi sath beth kar khana nahi saman nahi phir kesa sabka sath sabka vikas,0
dr manoj shukla paka yeah farzi phd kara hai kishi bhi angel sai yeah educated nahi hai sirf aeshey loag society mai puraney jamaney ki bat karkey logo par apna power dikhana chatey hai non educated person,0
"aise hi log aj bhi samaj ko age nhi badhne de rhe h , are jo jaha raji h , karne de use sadi behrupia , kal ko wo kisi or se pyar kregi or shadi kisi or ke sath , tab tujhe or is tere behrupia samaj ko thik lagega",0
"jab tak hindu muslim hota rhega tab tak ye anpadh neta logo ko ldwate rahenge aur am insan marte rahenge hum log 2021 m je rhe hai , ab toh jat pat se utho yr , kb tk ek dusre dharam ka khon niklte dekhoge pehle ache insandeshwasi bn jao , uske bad ache hindumuslim bnte rehna",0
hum nahi manta ager god government na go to ya hoga gujra ma to nahi hota,0
aek prime minister koh markay in logon ka kya halal hua yeh log bhol chukay hai last time only congres tok action,0
tripura hinsayanhan par sawal hai hinsa hone se pahle kadam kyon nahin uthae gai kerala mein 2012 mein court mein man lene ke bawjod ye sawal kyun nahi utha ki cm chandi aur vijyan kahan jhakh marte rahe hain jo aj tak love jihad jari hai,0
sabi haram khor kisan ke nam par khalistani aur cong suporters hain un logo ko msp par koyi mudha nehi hain yeah kisan log nehi hai anti indians hai jai shre ram,0
bat mat palat phle bata kahe krta hai aise or jo tu likh rha hai wo youtube pe search kar mil jayega,0
"kejrwal sarkar ne hi muslim votes ke chakar delhi jali , nahin up ka yogi ka udaran dekh lo",1
"hindu , sikh , budhist , jain , parsi hm sab ek hai sanatani hai tmlog gh uspethiye ch uslam virus k atan kwadi ho",1
galti dulhe ki hai ghodi uski behan hai uspe dulha chad gya fir marega hi vo,0
beta 10 sal kabse hogya tumhara andar raja banane ka chamta nhi tha to kya keroge raja aise hi thodi ban jata tha mar kat hota tha tab banta tha raja to 10 sal reservation ka bat hi nhi kero,0
"meri family mei shadi hoe hai aur muslim mei koe jat pat nahi hai , haj pe kisi ko nahi malom hota k koun syed , pathan hai aur koun ansari , shaikh hai wahan barabar behtney pe dosrey ko masla nahi hota hai lakin tumari marzi hai jat pat mei batey raho",0
pta nhi grovement kis bat ka in intjar kr rhi h in pr koi action q nhi leti,0
in suar ki aulad hone chali chali bache paida kar ke hindustan ka vada kar kar diya hai in a goli sa uda do,1
"kuran , sur ale imran 49 ayat me saf saf likha hai yesu , blind ko ankh deta hai , mare huwe ko lilata hai , kodhi ko sahi karte hai amen yesu changa karta hai , karta hai yesu sacha hai",0
reporter ne le li iski apne sahi pakad liya point is insan k thinking ko filter kar k expose kr diya hanthi k dant dikhane k alag chabane k alag equality to bs dikhawa hai inke liye blodyracist,0
agr aise teacher honge desh m shukla ji k jese to jatiwad khtm hone k bjaye or bdhegajb inki soch itna pdhne k bad nhi bdli to inke jese to na jane kitne or hongeor yhi log smaj m bhedbhaw ko bdhawa dete hpta nhi kon si pdhai kri h inhone,0
ye log abadi badhate hai 201 me 15 the 2021 me 20 ho gaye sahi kiya ranvero ne,1
is namuna ko kahan se pakar laye bhai sab iske pas tarkik gyan to zero hai,0
bus kro yr insaniyat mar chuki h ap bhulchuke ho ki har geta m bhisabka malik ek h or quran m bhi or bible m bhi,0
md shaqueb alam pori gand tak ka jor lgalohindustan ka ghanta kuch nhi bigad sakte tum mule bhagwa dekh kr hi to tumhari phat jati h aur hme maro ge tum rajtilak ki kro tyari a rhe h bhagwa dhari hindustan zindabad vande matram,1
bhai tu sab sah leta hai fir bhi kisi se kuch nhi kahta vakai tera dil bahut bda hai big salute bro,0
"musalmano ko defend karne ke liye puri jamat kadi ho gayi , wahi hinduon ko badnam karne wali movie hoti toh pura jamat fredom of spech ki bat karta , muslaman inlogo ke jija jo there",1
i apreciate you lalantop for real journalismi salute you jo shi ho ohi dikhaye log kabhi na kabhi samjhenge,0
"main hanuman ji ka bhak houn , bahubali shri pawan putre hanuman ji ye keise bol sakte hain there bap ka",0
andho ko duniya mat dikhao yar jab geta main likha hai jat nahi varn hota hai jo apke karma aur behaviour se hai,0
yahi hai ramrajy hindurastra hindu akta hai jati mughlo angrejo ne banai hai lekin aj bhi mughlo aur angrejo k najayaj aulad aj bhi hai jo jativad karta hai,1
sahi bola tumne methe me kya kahouge mulk mera hy kon nikale ga kici k bap me dm ni nikale bharat se jai bhim jai bharat,0
vaise to ladkiya bahut mature banti h jab desison khud ka to bad me rona dhona kyu desison lete time ake or akal bnd kr le thi kya chotibachihokya desh me wrestlers k sath kya ho raha ise koi nahi bole ga na koi bat kare ga bs film pr controversy karva lo or so caled deshbhakti are kabhi manipuror jantar mantar pr bhi bat kar lo,0
jab pakistani hindu ho kar bhi kabhi ye awaz nahi uthate hain ki hum kabhi hindustan ko mitayenge ye salon ki gand mein kyun khujli ho raha hai,0
modi ji ka dhanayvad karo kutwo jo ab tak jinda ho agar hum apa kho baithe to musalman shabad b nahi milega hijdo,1
"isko dar h ki age chamar , scst bhraman ki ladkiyon se shadi na krne lge , kyoki inki angrejo ki di hui jati ka bhura rang , scst se shadi krke unka rang sawla na pad jaye",1
abhi bhi dalit ka ghar dekhiye aur amir ka gharazadi to abhi nhi mila hai hindustan ko,0
hm salute krte hai shaurabh ji apko but is teacher ki ghatiya soch to dekhiye ye to jaha teach krta hoga vhan ke students ko kya education deta hoga,0
lalutop news hamesa ek narative dekhate ho sc samaja ke log general samaj pr bhi to jhuta court case krte hai ye bhi batao lalutop chenal valo,0
"behenchot itna kar sakta hai to myanmar ko muhtor jawab kyu nahi deta hai denge to bi galti kud ki hogi miya bhaiyo , jab tak chor karne ki adat nahi chorenge tabtak",1
reservation bhik me mil sakta par budhi aur kbhi bhik me nahi milta hai phle pta kro ranver sena kiski thi gandi soch gande log,1
ye fake doctorate ki degre ka asar hiska dimag itna ghatiya hki student ko bhi ghatiya bana degashame manoj shame,0
abe tu bhi to hindu tha puch apni purvaj se hi to islam bana uske phle tu bhi hindu tha ab atanvad khatam hoga 1 new india safe and sure,0
"bhosdi walo tum 1971 ki ag , ab kyu laga rahe ho , sab ag lagane me lege ho",0
bahut sare galat chij hue h wo kyun nhi dikhata h be ye lalantopsale ye log bas apne desh ka nam dubane me lage hai saram karo jahilon,0
ye chutiya jaise bat kar rha h kisi bhi jati m shadi karo problem ni h acha karo to bura karo to samaj hasta hi h apna jindgi jio bhai,0
"lagta hai tune stock rakhi hui hai ghar pe , tu hi laga , tere jaiso ke liye sahi hai",0
insan insan ke bich me bhed bhav karna tik nahi hai ye dekar dil ko bura lgta hai lord basaveshwar mahatma ne kaha hai sabi ek hi bhagwan ke bache hai,0
us bakil ko yeh nahi pta kam koi bhi ho chota bda nahi hota yeh bhai apna karm kar rha bakil shab tumhari trah kali chadar odh k thagi nahi kar raha,0
10 sahi kaha h apne arakshan ki baisakhi bhi chahiye jis jati k dam pe arakshan lete ho tab sharam nahi ati arakshan k liye jati chahiye inko tab kahte hain jatiwad h onch nech h jatiwad ham nahi kartey h sarkar karti h jo jati poch poch k noukari deti h,0
government kanun hath may churiya phen rakha kiya arest karna sahiya esa wolna wala log ko,0
"jati bad kab nhi tha , jati nhi tha to ramayan me kevat bhil etc ka nam kaha se aya jati jan ganana se kisi ko dikat nhi hona chahiye",0
"ab , hindu jag gaya hai , socho ye etana do ghar waha p rahakar ye kara raha h , hindu jago",1
"aur karo ekek bachcha , muslim ke bara bara hai , asa hi kuch sawal aur chala to hindu sab mar jayenge",1
"ehe log jo khate hai wahi bolte hain inko koi satwik bhojan khilao aur gau mata ka dodh pilao , apne ap shanth ho jayenge aur khud bhi insan ki tarah jiyenge",1
sandep ji apki party ko aur apko to bs virodh hi krna h n koei bhi topic chahe bah apno ke khilaf kyo n ho sudhr jao,0
koi insan kuch bhi likhe apne nam ke age kisi ko koi dikat nahi hona chaiye,0
ye kitni faltu soch he apki ke north east me kuch nahi kuch soch samaj kar likha karo bhai desh sirf metro cities se nahi banat wo har ek chote se chote ganv aur waha ki sanskriti se banta he ghatiyasoch,0
bharat me musalman ki jiyada bastiya badhane ke liye musalman kahika bhi ho bharat me basao gazwaehind karneme asani hogi hindu or ger muslim o ko mar kar musalman banana he kab tak 4 varna me bate rahonge,1
"sangat pangat , parshad khilane walo ki jarurat hai gau ki puja krne walo ki jarurat hai pathar baji krne ke liye jo miting sathal hai , logo ke sar pr pathar marne walo ki koi jarurat nhi hai",0
kaha se pad kar ate ho tum andh bhakt police bjp ki mcd bjp ki lndo jis par madarsa bana hai lndo bjp ki fir bhi bjp ko bolne ki himat nhi desh ki socho andh bhakti chodo,0
behen cho tum logo ki liye do desh hai fir hindustan mein ankh mar ke bethe ho behen cho kitne ghazi aye kitne gaye ye desh hindu ka hai aur rahega kyuki tum musalman idhar rehna pasand karte ho jab ki do islamic desh hai fir kyu kafir k desh mein rehna pasand karte ho,1
anpord pm ka jo skrept jeshe likh ke dega eshehi prachar karega usko age piche sachna nehi eshe pm ko desh thukegi eshiliye dehli cm ne se hi kaha,0
tum jaise hijdo ke liye sahi hai samjha ane do kat dalenge rajput brhamno ko sale,1
hahahahah puri khani bnai huvu hay bagal me rheta tha or pta nhi tha kya hahahaha,0
"isliye mujhe hindu dharm pasand nahi hai , matlab sadi me bhi jatiwad vo bhi shahro me khuleam ye verma adcoate ab scst act me jail jayega , shayad isne scst act ke bare me padha nahi hai",0
ye log shetan ki bani bol rhe he kyoki bibal ki bhavisywani puri honi bali he shetan ka ant hone bala he,0
muda hi nahin he ink pas bas hala karna he mahila se bat karne ki tamij nahin he,0
maharaj tujhe sahi galti hai vah jo hai na hindu putri nahin hai hansi ke andar hai maharaj jo hindu ka putra hota to masjid hi nahin karta vah mandir jay hind jay bharat,0
"us ko harami advocate ko bolo k tu bhi varma hata kr khati likh apne nam k sath , vrma matlab lakdi ka kam krne wala khati",0
inko kya kam karne ki jarurat hai bangal me rohingya ke liye sab kuch fre diya ja raha hai paschim bangal me tmc ne bahut kiya hai rohingya ko fre diya hai,0
bhai lekin burma mein to yeh unk sath bhi hota h toh burma k muslims ko jagah dene k liye raji ho jaoge,0
main reason hi is smuday ke pas education ka lavel zero hai or in logo ka culture bhi bdi jatiyo se thoda diferent hai isi vjh se antral paida ho jata hai,1
"ye narsanhar brachasav babhan ka khatam ho raha tha , koi uska bat nai manta tha esliye kiya gidar wala kam , lalu bolta hai jab tabla bajega dhin dhin tab ek pe baithega 3 , 3 , fir a raha lalu raj , fir bil m ja k tukar tukar dekhega",1
jatipraman ptra leke gumte ho bhikh mangne ki hum dalit h hum dalit h aur bat jatiwad ki krte h,0
ma ki chut yaha kaun se vedo mai jat pat thekisi ne pade ho toh bataye,0
court me jab gaye they shadi karne to wahan pata chala tha na us waqt peche hat jana chahiye tha,0
bharat mata ki jay jay shri ram rajasthan ki sarkar kuch bhi kam nahin karti hai yahan ki janata bol rahi hai yah modi ji ap ek bar a jao,0
"mere khandan ne aj tk sarkari naukry ka muh nahi dekha , sablog talented hai bhukhe nahi marenge , yahan naukry arakshan ke hisab se milta hai , kabilyat ke hisab se nahi ,",0
han rs ka agent hona to ek proud ki bat hai isis ki ma ki chut,0
are inse umed bhi kya kroge kitna bhi pdh likh le rhenge chutiye gwar hi n,0
dekh bhai 10 me se agar 5 log upsc nikalein or 10 me se 10 log to pahle wale ka suces ratio badhiya hoga na,0
"ye hindu muslim ki ladai kam lag rahi thi kya jo christan ko bhi ghasit rahe ho , pathar aur miti ki murtiyo me koi bhagvan nahi hota unke liye koi mana nahi to jo bhagvan ko dilse mante hai unhe kuch kehene ka koi hak nahi hai",1
"hanuman ji sachy hap unka dhyan or unky nam ki vinti or bol or dhol sy unko apna rang dikhany ko bolo phir daikho unko chamatkarapni ankhu sy sab daikha h ji gaun , dhudi , utrakhand m",0
saurabh ji se ek sawal hai k agar hme jati k base pe pahle hi catogerise kiya jata hai to hm ku na pride kare apni caste pe,0
mai modi sarakr se darkas kruga koi bhi cast jiske ghar mai koi schol n jata ho use sari subhaywn chen li jaye kuch gawaro ki bajay se jat pat ke name pr drame hote h agr hr brg pada likha hota to aisi chutiya panti nhi hogi,0
kya bolra h bhai itne sare hindu ke interview toh liya news chanels toh sirf ek hindu ka case dikha rhe h isne itne sare hindus ko cover kiya plus muslims ko bhi kiya toh unbiased hua na,0
bangali log apne ma biwi beti ko chu bane kelie dedenge inka kichbhi nahin jaega bohat kharab lagta hai bangal ka khabar sunke,1
bhai dono kam galat hai kisi ko jan se marna v aur kisi ka jamin hadapna v,0
"mdm ji sawarn abhi bhi liver cust ko dabana satana chahten hai , pr ab koi nhi dabega",0
hindu dharm ka bahiskar kariye kalpanik devi devta ko kyun sine se lagaye ghum rahe ho jay bhim,1
protest m sirf punjab ke hi protest kr rh h ya kisi aur bhi state ke,0
"apne ap par hamesha garv karna chahiye chahe apka kam kuch bhi ho , siwaye galat kam ke",0
sikho ko samajlena acha sunlo tum ye hakikat hai khalistani hai mam ye galat adme hai,1
thekedar majdur kishan jua koi nahi khelta pandit dab kar rehte hai kitna hen bhaw hai is bache me abhi se,0
"ye bsdke chamar chauhan lagke bhi ghumte hai sale , rajputo ko badnam karakha salo ne",1
ye kute he bok kr chup jayge inhone apni ma ka du piya he to hindu ko ched kr batye,1
"sir ye cast system inke jaise brahman kabhi khatam nahi hone denge kitne bhi pade likhe chahe jitne ho , wo apne apko superior hi samajhte hai",1
in gadaruko or rahangia sabko ek ek karke marte jao jab tok rahangia desh se katam nehi hota tobtok marte jao kuta mot dena hei saloko,1
tumlog to hath faila ke dalito keghar ghar ja ke bhek mangte ho ews ka labh alag se le rahe ho ab tum log ho dalito ke dalit,1
aise logo ka kuch nahi ho skta chorahe pe chapal marna chahiye 10 sal purani soch,0
han bahi sath betkar khate hai to baton pakistan me kitne dalit bache afghanistan me budh ki mortiyo ko kisne tora me manta hun ki kuch pakhandiyo ki bajah se ham jatiyon me bat gay lekin tum masomo ko sirf dharma ke nam par mar dete ho,1
bhai uski bate suna band kar do kuch hi dino ki bat h uska bhi ilaz hone wala h ye election ho jane do bas,0
"usi duniya mai rahta hon jaha sach bolne per cbi , id raid dalit hai or jotha desh darohi hone ka certificate daikhe jail mai dal diy jata hai or ndtv fake chanel hai kionke yah 20 ke note per chep lagata hai or har roj hindu muslim karke desh ke real mudho de desh ko batka deta hi",1
yah sahi hai sarkar khud jati wad or ye log arakshan ka jati wad nahi hai,0
"chup sale tumko tang uthkar hand karunga sale tu teacher kaise ban gaya , soch galt ho gaya sale yahi log desh ko bervad kr diya hai",0
jat koi nahi chunta sab acharn chunte hai to kya to phir jat ke adhar pe archan kyo,0
"faltu ka kam vakh india tuta hindu muslim karke hi or kashmir may hindu mara gaya hindu muslim karke hi , sare criminal gunde , repist maximum muslim hi hay charamponthi jihdi ka suport tumlog karta hay thora sa fayda ke liye desh ko barbad tumlog kar raha hay arobi ka jut chat ke",1
you are right situation control inspector sir yese logon ki bajah se hi hamara des me asanti felta h jo log hindu muslim kahte h ham hindustani sab bhai bhai h,0
"ladkiyo ki kami jaha hogi waha ladke sucide hi karege , koi to hona chahiye stres dur karne k liye",0
sachche guru putro ko hamara shat shat naman sikh bhai hamare itihas ka goruv hai guru maharaj hamare liye kisi bhagwan se kam nahi wahe guru,0
har jagah ye khatam ho chuka hai par bc wale india ke khilaf apna propaganda felate rahege ur logo ke bech mai hate bhadate rahege,0
apki baton mein fact kam nafrat aur casteism ki bo zyada a rhi hai so dont think yourself oversmart,0
sir ise pta chalta hai ki koi kitna padh le likh le yeh jo brahmano vgerh ki soch aise hi rahegiaj isne sabit krdi,0
agar tere g me dum h to uaha ja or rok le jake yaha bhauk kya raha h sala bewakuf dusri jagah per log mare jaye to modi jimedar or yaha tum santi ho fir bhi sukon nahi barma me hote tab malum padta tujhe,0
bc chanal jo apne is sachai ko dikhaya ye h jhoti sachai hamare desh ki or economey h tho h aise arthwayvatha pey,0
wahi to bhai par kuch log samajhte nhi ki sabhi 1 jaise nhi hote par fr v bhai pure islam ko gali dete h q ko inko lagta h hindu dharm m bure log hote hi nhi sir muslim hi h sabhi chezon ke zimerdar or ye jo hindu muslim karte h chahe wo hindu ho ya muslim ye log hi desh ke gadar h or koi nhi,0
"ise mandir mein pani pine jana h , or ghr mei photo baba ji ka laga ke rakhega srf , or phir bolega chuwa chut , khud baba ji ka chela h dusro se nafrat hai or bolenge hmse chuwa chuth krta h khud sudhro balak tmse desh nahi sudhrega aise mei",0
bhut dukh ki bat hai meri to ashu agyi inki story sun ke bagwan in ko nyay jarur delayi,0
aur kuch kahate hai arakshan band hona chahiye kyo hona chahiye jab tak ye jatiwadi soch band nhi hoga tab arakshan band nhi hona chahiye,0
"ap sachai ki rah se bhatak chuke ho , ho mai apke liye prarthna karta hun ki ap ki jewan me shanti mile",0
mule madarchod tere bap dada bhe ek zamame mai hindu tha aur fir unhe convert kardiya,1
aryan manhotra case me me kuch kehna chahta hu ek sal bad pata chal kar ke pas wale ghar me rehta ta ye kuch ajib sa nehi h is me 1 ladki dar rehi vo apne papa ke ghar h jaha tak muje lagta h soch ke dekho 1 case me sachai lagti h ho sakta h dusre me nehi lagti ye sach bol rehi h,0
bhaisahb reservation ko khatam karne ki bat kar rhe hai castism ka name ate hi mar gya,0
1 hindostan ka zanda kis ne banaya musalman ne 2 hindostan ka git sare jaha se acha kis ne gaya alama iqbal or likha bi to bahi ham gadar kiyu ye jo mideya hi ye ek bat ke do matlab nikalti,0
snatn dhrm hzaro salo se h or rhega jb ki jine molana molvi h ye sub dhong krte h islam k nam p reap hlala krte h ye kya h eske lea koi nhi bolta,1
kya anandkisme arkshansankari naukri mekitna govt job h bharat crore unmet se 15 yamani 2 lakh totle 2 lakh naukri par jal rhi 35 crore ki abadi se jatiwad krte ho hzaro sal se,0
big problem in india brahmanwad big problem in india bhedbhave big problem in india jatwad big problem in india cashtwad big problem in india choachat big problem in india dirty politics,0
musalman dalito kay gao ko jalatay hai unki awarato kay sath rape kartay hai usapar lalantop chup rahata hai,1
mye nrc ka birodh nahi karta lekin ye desi aor videsio ko pahechanane ke liye honi chahiye pata to chale ki uresiya se akar kisane bharat ke mulniwasi sc st obc aor converted minerotes ko kisne gulam banaya jai mulniwasi,0
abhi 2 din pehle hi ek maulvi ne apni biwi ko itna ragad ke pela ki wo bechari mar gayi sale hawas ke chode,1
sahi kaha sabhi log rs and bjp ko suport karo aur desh se crime atankwad khatm ho sake,0
